Race #,Season,Week,Date,Car,Series,Track,Qualified,Race finish,Win,Podium,Race SOF,Chmpship pts,Division,Inc,Laps,Avg lap time,Fastest Lap time,SR change,iR change,SR post race,iR post race,Protestee,Protest upheld,Note
19,2021 S3,W03,2021-07-03,911GT3R,,Brands Hatch - GP,11,13,0,0,1239,22,4,9,6,1.33.282,1.29.922,-0.68999999999999995,-41,2.4399999999999999,1259,,,"Crash before start line, 11min of req repairs. Couldn't pick up pace. Silly self crash on last lap and lost two positions there."
20,2021 S3,W03,2021-07-04,911GT3R,,Brands Hatch - GP,8,8,0,0,1533,49,4,0,15,1.27.074,1.25.477,0.16,19,2.6000000000000001,1278,,,"Enjoyable race, steady pace, 0 inc."
21,2021 S3,W03,2021-07-05,911GT3Cup991,,Mosport,10,7,0,0,1167,40,4,0,18,1.23.196,1.22.203,0.20000000000000001,7,2.8000000000000003,1285,,,"1 sec slower than my capability, played safe. Could've held P6"
22,2021 S3,W03,2021-07-05,Ford GTE,,Nurburgring - Combined,,11,0,0,1356,41,4,6,6,,9.16.000,1.03,2,3.8300000000000001,1287,,,"Two crashes, one self crash while comtemplating LMP2 driver behind. 2nd when impatien GTE driver pushed me out"
23,2021 S3,W04,2021-07-06,911GT3Cup991,,Road America,9,7,0,0,1123,47,4,2,11,2.15.244,2.13.284,4.0000000000000001e-02,25,3.8399999999999999,1312,,,One self off-track. Good comfortable pace. Mostly driving solo. SR changed by TT
24,2021 S3,W04,2021-07-06,SRF,,Oran Park - Moto,4,5,0,0,1242,60,4,2,20,1.19.254,1.16.412,7.0000000000000007e-02,50,3.9099999999999997,1362,,,Starting to get the feel of the new SRF
25,2021 S3,W04,2021-07-07,SRF,,Oran Park - Moto,3,4,0,0,1449,72,4,1,20,1.17.875,1.16.016,0.53000000000000003,62,4.4399999999999995,1424,,,
26,2021 S3,W04,2021-07-09,USF2000,,Lime Rock Park,13,10,0,0,1683,48,4,0,17,0.54.030,0.52.723,8.9999999999999997e-02,4,4.5299999999999994,1428,,,Potentially P8 had I not started from pits
27,2021 S3,W04,2021-07-10,911GT3Cup991,,Road America,12,8,0,0,1410,60,4,1,11,2.15.008,2.13.479,4.0000000000000001e-02,33,4.5699999999999994,1461,,,Some close racing. Started from pits
28,2021 S3,W04,2021-07-10,SRF,,Oran Park - Moto,12,10,0,0,2041,65,4,7,19,1.17.792,1.15.800,-0.23000000000000001,28,4.339999999999999,1489,,,
29,2021 S3,W04,2021-07-11,911GT3Cup991,,Road America,12,11,0,0,1502,44,4,0,11,2.13.817,2.12.444,8.0000000000000002e-02,-4,4.419999999999999,1485,,,Was P10 til last lap. Consistent finish L3 ten official road races with no loss of irating. 9/10
30,2021 S3,W04,2021-07-11,SRF,,Oran Park - Moto,2,2,0,1,1137,60,4,0,20,1.17.438,1.16.202,0.10000000000000001,54,4.5199999999999987,1539,,,
31,2021 S3,W05,2021-07-13,USF2000,,Oran Park - South,13,8,0,0,1423,51,4,0,22,0.42.075,0.40.859,8.0000000000000002e-02,10,4.5999999999999988,1549,,,
32,2021 S3,W05,2021-07-17,SRF,,Zandvoort,10,8,0,0,1702,36,4,5,14,1.58.161,1.55.372,-0.16,-18,4.4399999999999986,1531,,,Not enough practice before race
33,2021 S3,W05,2021-07-17,911GT3R,,Imola,12,15,0,0,1488,11,4,4,5,1.52.178,1.47.775,-0.13,-72,4.3099999999999987,1459,Evan Brumm2,,Got taken out first lap. Should've started from pits maybe
34,2021 S3,W05,2021-07-18,911GT3Cup991,,Lime Rock Park,12,7,0,0,1487,56,4,1,29,0.52.763,0.51.884,-2.e-02,24,4.2899999999999991,1483,,,
35,2021 S3,W05,2021-07-18,Ford GTE,,Monza - GP,32,29,0,0,1317,33,4,13,47,1.56.726,1.49.716,-0.28999999999999998,-29,3.9999999999999991,1454,,,Finished where my pace was. Wasted 2min on optional repairs.Raced too safe.
36,2021 S3,W06,2021-07-21,SRF,,Brands Hatch - Indy,5,5,0,0,1777,42,4,0,30,0.52.319,0.51.507,0.12,1,3.6999999999999993,1455,,,Finished according to my pace. SR Adjusted to TT results
37,2021 S3,W06,2021-07-21,911GT3Cup991,,Interlagos,8,14,0,0,1284,5,4,15,16,1.46.191,1.36.558,-0.51000000000000001,-87,3.1899999999999995,1368,,,"One late braking, group accident, retaliation. Totally my fault. Had better pace than ever before."
38,2021 S3,W06,2021-07-24,911GT3Cup991,,Interlagos,18,10,0,0,1326,49,4,7,17,1.38.767,1.37.217,-7.0000000000000007e-02,14,3.1199999999999997,1382,,,Finished according to my pace.
39,2021 S3,W06,2021-07-24,SRF,,Brands Hatch - Indy,4,5,0,0,1787,50,4,1,30,0.52.789,0.51.927,5.0000000000000003e-02,16,3.1699999999999995,1398,,,Finished according to my pace.
40,2021 S3,W06,2021-07-26,911GT3Cup991,,Interlagos,12,14,0,0,1431,16,4,9,16,1.43.065,1.37.042,-0.14000000000000001,-57,3.0299999999999994,1341,YES,,Taken out by 668iR driver on lap 10. Had potential for P8
41,2021 S3,W06,2021-07-26,911GT3Cup991,,Interlagos,13,8,0,0,1478,55,4,2,17,1.38.233,1.36.724,0.12,27,3.1499999999999995,1368,,,Finished according to my pace.
42,2021 S3,W07,2021-07-29,USF2000,,Hockenheim - National B,14,12,0,0,1697,36,4,1,11,1.33.040,1.30.825,0.11,-14,3.2499999999999996,1354,,,Finished according to my pace. No practice before race
43,2021 S3,W07,2021-07-30,iR-01,,Monza - GP,2,2,0,1,1903,,4,0,31,1.29.501,1.24.850,0,0,3.3299999999999996,1354,,,"The race after weekly GP race. Unofficial. SR adjusted to iracing, not sure where difference comes from"
44,2021 S3,W07,2021-07-30,USF2000,,Hockenheim - National B,4,2,0,1,1002,52,4,0,11,1.30.244,1.28.848,0.14999999999999999,50,3.4799999999999995,1404,,,Great driving after some practice. Was at my pace
45,2021 S3,W07,2021-07-30,SRF,,Mosport,6,8,0,0,1832,31,4,2,17,1.33.747,1.31.803,2.9999999999999999e-02,-19,3.5099999999999993,1385,,,One self spin due to distraction from other caar spinning in front of me
46,2021 S3,W07,2021-07-31,SRF,,Mosport,2,5,0,0,1620,38,4,5,17,1.34.436,1.31.232,-0.10000000000000001,-2,3.4099999999999993,1383,,,"Better laps than before, spun out twice, first time required fast repair.Had pace for P4, a bit too eager and it cost me one pos."
47,2021 S3,W07,2021-07-31,911GT3Cup991,,Hockenheim - National A,8,18,0,0,1154,3,4,4,1,,,-0.16,-96,3.2499999999999991,1287,Kin Fai Lau,,"Lap 1 T1 incident, Avoided most but someone didn't hold his brakes"
48,2021 S3,W07,2021-08-01,911GT3Cup991,,Hockenheim - National A,6,2,0,1,1011,59,4,6,19,1.28.349,1.27.015,-1.e-02,69,3.2399999999999993,1356,,,"Was at my pace, Just ahead of T1 carnage thaanks for decent Quali and start"
49,2021 S3,W08,2021-08-03,SRF,,Phoenix - Road,3,4,0,0,1479,57,4,2,23,1.08.213,1.06.332,0.14000000000000001,35,3.3799999999999994,1391,,,"My pace, maybe a bit conservative"
50,2021 S3,W08,2021-08-04,SRF,,Phoenix - Road,15,12,0,0,2026,52,4,1,22,1.09.806,1.07.081,0.17999999999999999,10,3.5599999999999996,1401,,,"One self spin +10s, two distractions from mobile phone alarm +10s each. Potential for P10 in this race. P7 with yesterdays pace."
51,2021 S3,W08,2021-08-05,USF2000,,Oulton Park - Island Historic,7,7,0,0,1353,26,4,4,12,1.20.490,1.17.333,-0.16,-32,3.3999999999999995,1369,Travis Tharp3,,"Was at my pace, not satisfactory pace. Was P6 then got blocked and crashed into by Travis."
52,2021 S3,W08,2021-08-06,USF2000,,Oulton Park - Island Historic,12,15,0,0,1550,11,4,6,7,1.20.550,1.18.876,-0.22,-62,3.1799999999999993,1307,Peter Smid,,"T1 incident, taken out by Peter Smid who finished P6"
53,2021 S3,W08,2021-08-06,USF2000,,Oulton Park - Island Historic,7,4,0,0,1618,80,4,0,12,1.18.683,1.17.291,-1.e-02,71,3.1699999999999995,1378,,,Got lucky and lots of competition got taken out at T1
54,2021 S3,W08,2021-08-07,SRF,,Phoenix - Road,7,12,0,0,1327,28,4,12,16,1.08.174,1.06.309,-0.70999999999999996,-31,2.4599999999999995,1347,Michael Dobeck 4700iR,,"Got crashed out from P5, required repairs put me last. Then worked up to P10 and crashed again due to unsafe rejoin"
55,2021 S3,W08,2021-08-07,USF2000,,Oulton Park - Island Historic,7,8,0,0,1895,46,4,1,12,1.19.429,1.17.375,5.0000000000000003e-02,7,2.5099999999999993,1354,,,
56,2021 S3,W08,2021-08-07,SRF,,Phoenix - Road,3,2,0,1,1055,59,4,0,23,1.07.788,1.06.558,0.29999999999999999,62,2.8099999999999992,1416,,,Raced at my pace
57,2021 S3,W09,2021-08-10,USF2000,,Spa - GP,12,11,0,0,1548,26,4,4,7,2.27.926,2.27.281,-7.0000000000000007e-02,-33,2.7399999999999993,1383,,,Incident before start line. Had P5 pace over the race duration (avg lap time)
58,2021 S3,W09,2021-08-11,USF2000,,Spa - GP,7,6,0,0,1062,34,4,5,7,2.32.886,2.29.378,-0.10000000000000001,-8,2.6399999999999992,1375,Takashi Nakazawa,,"Incident before start line, reduced downforce for cornering. Would've had podium pace if not for this."
59,2021 S3,W09,2021-08-12,SRF,,Watkins Glen - Classic Boot,2,3,0,1,1053,52,4,6,13,2.09.459,2.06.402,-0.13,43,2.5099999999999993,1418,,,"Incident T1, then tight clean racing afterwards. Slowly picking up the pace with damaged car"
60,2021 S3,W09,2021-08-12,USF2000,,Spa - GP,16,11,0,0,2359,47,4,0,7,2.29.943,2.27.911,0.14999999999999999,3,2.6599999999999993,1421,,,"My pace, maybe a bit conservative"
61,2021 S3,W09,2021-08-12,SRF,,Watkins Glen - Classic Boot,6,6,0,0,1703,43,4,0,13,2.06.928,2.05.430,0.16,1,2.8199999999999994,1422,,,My pace and pushing a bit
62,2021 S3,W09,2021-08-14,SRF,,Watkins Glen - Classic Boot,4,5,0,0,1492,56,4,0,13,2.06.911,2.04.554,0.14999999999999999,26,2.9699999999999993,1448,,,My pace
63,2021 S3,W09,2021-08-16,USF2000,,Spa - GP,10,8,0,0,1309,45,4,1,7,2.29.600,2.27.936,0.55000000000000004,4,3.5100000000000002,1452,,,"My pace, maybe a bit conservative"
64,2021 S3,W010,2021-08-17,SRF,,Barcelona - Historic,1,1,1,1,1131,65,4,3,13,2.01.789,2.01.030,-2.9999999999999999e-02,71,3.4800000000000004,1523,,,"My pace, kept dropping towards the end"
65,2021 S3,W010,2021-08-20,SRF,,Barcelona - Historic,14,14,0,0,2438,40,4,1,13,2.01.965,2.00.304,8.9999999999999997e-02,-9,3.5700000000000003,1514,,,
66,2021 S3,W010,2021-08-20,F3.5,,Barcelona - Historic,11,11,0,0,1829,36,4,4,23,1.31.552,1.29.651,2.e-02,-18,3.5800000000000005,1496,,,"Clean race, at my race pace. 1s off my practice pace"
67,2021 S3,W011,2021-08-24,SRF,,Lime Rock Park - Classic,9,7,0,0,1763,69,4,12,26,0.59.184,0.57.358,-0.39000000000000001,39,3.1900000000000004,1535,,,Punted twice by Wayne Muller
68,2021 S3,W011,2021-08-24,USF2000,,Long Beach,8,4,0,0,1553,73,4,0,11,1.25.983,1.25.247,0.10000000000000001,53,3.2900000000000005,1588,,,Safe and slow and everyone else crashed. Pacewise had P3 potential
69,2021 S3,W011,2021-08-25,SRF,,Lime Rock Park - Classic,7,4,0,0,1625,80,4,1,27,0.57.852,0.56.556,0.10000000000000001,60,3.3900000000000006,1648,,,"Race pace, finished where I belong"
70,2021 S3,W011,2021-08-25,911GT3Cup991,,Long Beach,10,9,0,0,1257,38,4,12,22,1.28.394,1.24.030,-0.29999999999999999,-17,3.0900000000000007,1631,,,"Started from pits. Damage from L1 incident by car #2, then late brake and 20s of required repairs lap 4. Had pace for top 5 maybe."
71,2021 S3,W011,2021-08-25,SRF,,Lime Rock Park - Classic,5,5,0,0,1722,83,4,4,27,0.57.664,0.56.585,0,58,3.0899999999999999,1689,,,"Race pace, could've finished P3 or P4 had I defended more aggressively."
72,2021 S3,W011,2021-08-26,911GT3Cup991,,Long Beach,19,12,0,0,2616,61,4,0,22,1.24.332,1.22.465,0.17999999999999999,11,3.27,1700,,,"Race pace, finished where I belong"
73,2021 S3,W011,2021-08-27,SRF,,Lime Rock Park - Classic,6,12,0,0,2251,20,4,5,27,0.58.443,0.56.653,-5.9999999999999998e-02,-42,3.21,1658,,,"Race pace, three incidents involving Joel Kleinknecht ir3300 driver."
74,2021 S3,W011,2021-08-27,F3.5,,Spa - GP,16,15,0,0,1931,46,4,10,15,2.21.929,2.14.761,-0.16,-9,3.0499999999999998,1649,,,"Broken car, pit stop did not fix. Thanks Michael Ward14"
75,2021 S3,W011,2021-08-28,F3.5,,Spa - GP,5,6,0,0,2117,33,4,4,18,2.06.765,2.04.400,0.14000000000000001,-19,3.1899999999999999,1630,,,"Race pace, solo run from start to finish"
76,2021 S3,W011,2021-08-30,USF2000,,Long Beach,7,5,0,0,1380,48,4,0,11,1.26.467,1.25.184,7.0000000000000007e-02,6,3.2999999999999998,1636,,,"No practice, could've been faster, nowhere near last seasons Long Beach pace. Too strong FFB, no usual feel."
77,2021 S3,W012,2021-09-02,911GT3Cup991,,Nurburgring - BES/WEC,12,10,0,0,1149,30,4,2,14,2.02.156,1.59.697,8.9999999999999997e-02,-35,3.3899999999999997,1601,,,"My pace, two self spins, potential for P8 possibly. Way off competitive pace for my irating."
78,2021 S3,W012,2021-09-02,SRF,,Hockenheim - National A,3,3,0,1,1620,51,4,2,15,1.38.789,1.37.650,8.0000000000000002e-02,17,3.4699999999999998,1618,,,Race pace. Slow start
79,2021 S3,W012,2021-09-03,F3.5,,Interlagos,6,4,0,0,2088,43,4,3,26,1.26.284,1.24.147,0.14999999999999999,1,3.6199999999999997,1619,,,"Race pace. One self spin, very close to P3"
80,2021 S3,W012,2021-09-03,Ford GTE,,Hockenheim - GP,10,7,0,0,1929,49,4,6,37,1.41.089,1.37.352,0.10000000000000001,1,3.7199999999999998,1620,,,Race pace. Had potential for one more position had the race been longer or had I not self spun in the beginning.
81,2021 S3,W012,2021-09-04,Ford GTE,,Hockenheim - GP,7,6,0,0,1967,47,4,5,34,1.39.844,1.37.272,8.0000000000000002e-02,-1,3.7999999999999998,1619,,,"Race pace, started 3 laps down due to VR restart"
82,2021 S3,W012,2021-09-05,SRF,,Hockenheim - National A,1,2,0,1,1259,60,4,1,15,1.38.371,1.37.259,0.13,45,3.9299999999999997,1664,,,"Race pace. Start P1, slow start lost two positions on Lap 1."
83,2021 S3,W012,2021-09-06,USF2000,,Laguna Seca,5,7,0,0,1796,34,4,1,11,1.27.631,1.27.575,4.0000000000000001e-02,-24,3.9699999999999998,1640,,,Didn't find comfort with consistent race pace. Very conservative driving. Top split.
84,2021 S4,W01,2021-09-14,SRF,,Tsukuba - 2000 Moto,3,4,0,0,1143,54,4,1,24,1.05.284,1.04.133,0.57999999999999996,29,4.5499999999999998,1669,,,Race pace
85,2021 S4,W01,2021-09-17,F3.5,,Okayama - Full,13,9,0,0,1686,38,4,0,29,1.21.264,1.19.541,0.17999999999999999,-20,4.7299999999999995,1649,,,Race pace
86,2021 S4,W01,2021-09-17,SRF,,Tsukuba - 2000 Moto,14,6,0,0,1820,67,4,5,24,1.05.316,1.04.085,-0.17000000000000001,28,4.5599999999999996,1677,,,Race pace. Had P5 but ran wide exit from chicane 
87,2021 S4,W01,2021-09-18,911GT3Cup992,,Charlotte - Roval,14,16,0,0,1647,29,4,4,19,1.23.619,1.21.508,-5.9999999999999998e-02,-42,4.5,1635,,,Race pace. SOF out of my depth
88,2021 S4,W01,2021-09-18,F3.5,,Okayama - Full,5,2,0,1,1318,72,4,1,30,1.21.486,1.20.059,0.12,61,4.6200000000000001,1696,,,Race pace. Lucky enough to survive first 2 laps while many fast drivers didn't.
89,2021 S4,W01,2021-09-20,SRF,,Tsukuba - 2000 Moto,3,1,1,1,1291,79,4,0,24,1.04.982,1.04.211,0.19,76,4.7700000000000005,1772,,,Race pace. Lucky enough to survive first 2 laps while many fast drivers didn't.
90,2021 S4,W02,2021-09-23,F3.5,,Imola,7,8,0,0,1692,51,4,0,23,1.34.707,1.33.368,0.14000000000000001,-2,4.9100000000000001,1770,,,"Race pace. Started from pits, pace had potential for P6"
91,2021 S4,W02,2021-09-24,911GT3Cup992,,Hungaroring,14,13,0,0,1945,39,4,1,16,1.52.866,1.50.948,2.9999999999999999e-02,-24,4.9400000000000004,1746,,,Race pace+. Car #15
92,2021 S4,W02,2021-09-24,F3.5,,Imola,13,10,0,0,1801,70,4,4,24,1.35.065,1.32.923,-8.9999999999999997e-02,26,4.8500000000000005,1772,,,"Race pace, was P9 but got too ambitious on final lap 4 corners to go. Lucky lost only one place."
93,2021 S4,W03,2021-09-29,911GT3Cup992,,Nurburgring - Combined VLN,5,10,0,0,1854,65,4,4,3,8.30.132,8.29.455,1.e-02,16,4.8900000000000006,1788,,,"Race pace. Started from pits, avoided carnage"
94,2021 S4,W03,2021-09-30,SRF,,Red Bull Ring,2,2,0,1,1070,46,4,7,14,1.49.840,1.48.222,-0.40000000000000002,17,4.29,1805,,,"Race pace, one self spin lots of off tracks. SR adjusted for unofficial race incidents"
95,2021 S4,W03,2021-10-02,F3.5,,Monza - GP,13,11,0,0,1767,57,4,6,23,1.41.489,1.39.548,-0.14000000000000001,3,4.1500000000000004,1808,,,Race pace. Stopped before T1 and that cost some time. Potential for P8
96,2021 S4,W03,2021-10-02,SRF,,Red Bull Ring,8,6,0,0,1703,58,4,13,14,1.50.001,1.47.221,-0.80000000000000004,12,3.3500000000000005,1820,,,Race pace. One self spin and one punt
97,2021 S4,W03,2021-10-04,F3.5,,Monza - GP,9,11,0,0,2177,21,4,4,22,1.44.422,1.40.259,1.e-02,-47,3.3600000000000003,1773,,,Almost race pace. Very high SOF. One self spin due to being overtaken. Potential for P10
98,2021 S4,W04,2021-10-11,SRF,,Barcelona - National,8,4,0,0,1445,71,4,1,19,1.22.734,1.21.905,0.12,44,3.4800000000000004,1817,,,No mistakes race pace.
99,2021 S4,W04,2021-10-11,F3.5,,Hungaroring,5,5,0,0,2474,44,4,4,25,1.34.639,1.33.264,7.0000000000000007e-02,-4,3.5500000000000003,1813,,,"Race pace. Had potential for P4 with similar pace, didn't defend hard enough. Lost mojo for three laps after being overtaken"
100,2021 S4,W04,2021-10-12,F3.5,,Hungaroring,7,3,0,1,1416,76,4,7,25,1.35.894,1.34.550,-7.0000000000000007e-02,55,3.4800000000000004,1868,,,"Not as fast as yesterday, one self spin. Had pace for P2 but too big a gap. Tue morning 2nd split"
101,2021 S4,W05,2021-10-15,SRF,,Oulton Park - Intl w/o chicanes,3,4,0,0,1363,65,4,4,15,1.41.814,1.40.151,-5.0000000000000003e-02,32,3.4300000000000006,1900,,,"Race pace, had chances for P3 but made several off-tracks that could've been spins"
102,2021 S4,W05,2021-10-16,F3.5,,Twin Ring Motegi - GP,9,9,0,0,2081,40,4,1,23,1.39.799,1.38.131,0.17000000000000001,-22,3.6000000000000005,1878,,,"Race pace, had chances for P8 but off-track"
103,2021 S4,W05,2021-10-16,SRF,,Oulton Park - Intl w/o chicanes,9,11,0,0,1945,44,4,15,15,1.43.125,1.40.623,-0.53000000000000003,-20,3.0700000000000003,1858,,,Race pace but one clash and one self spin because I was being too racey. Had potential for P8 and 66pts.
104,2021 S4,W05,2021-10-17,SRF,,Oulton Park - Intl w/o chicanes,13,14,0,0,2490,41,4,7,15,1.42.710,1.39.904,-0.54000000000000004,-19,2.5300000000000002,1839,Bob Kern,,Race pace but got pushed out last turn by Bob Kern. Was P10 75pts until last turn. Could've defended harder but went back to the line and Bob was at the apex
105,2021 S4,W06,2021-10-20,911GT3Cup992,,Twin Ring Motegi - GP,19,16,0,0,2801,28,4,0,15,1.58.326,1.55.837,0.23000000000000001,-30,2.7600000000000002,1809,,,"Race pace, hadn't practiced,"
106,2021 S4,W06,2021-10-21,SRF,,Mosport,12,14,0,0,2303,9,4,6,14,1.34.758,1.32.225,-0.19,-60,2.5900000000000003,1749,Marcus Burkitt!,No,"Lap 1 last lap incident, net code, pit and repairs. Then self off-track and repairs later."
107,2021 S4,W06,2021-10-23,SRF,,Mosport,8,4,0,0,1827,81,4,0,17,1.32.417,1.31.256,0.14999999999999999,49,2.8100000000000001,1798,,,Lap 1 incident cleared out many good drivers. Then consistent laps til the end.
108,2021 S4,W07,2021-10-27,SRF,,Nordschleife,,7,0,0,1842,70,4,4,3,8.12.863,8.06.776,-4.0000000000000001e-02,25,2.77,1823,,,Race pace. Three drivers behind me were faster but they crashed out and couldn't reel in the gap
109,2021 S4,W07,2021-10-28,SRF,,Nordschleife,,6,0,0,1564,67,4,4,3,8.07.559,8.07.566,-1.e-02,28,2.7600000000000002,1851,,,Race pace. 
110,2021 S4,W07,2021-10-28,F3.5,,Hockenheim - GP,8,8,0,0,2196,37,4,7,26,1.28.636,1.27.158,2.9999999999999999e-02,-22,2.79,1829,,,Race pace. Finished where I should've
111,2021 S4,W07,2021-10-30,F3.5,,Hockenheim - GP,13,10,0,0,2825,50,4,2,25,1.28.899,1.27.344,0.73999999999999999,-2,3.5300000000000002,1827,,,Race pace. No inc that slowed me down
112,2021 S4,W07,2021-10-31,F3.5,,Hockenheim - GP,12,10,0,0,1665,59,4,8,25,1.29.502,1.25.801,-8.0000000000000002e-02,7,3.4500000000000002,1834,,,"Race pace, had incidents and repair. Potential for P6 if clean race."
113,2021 S4,W07,2021-11-01,F3.5,,Hockenheim - GP,10,13,0,0,1715,26,4,7,25,1.30.294,1.25.799,-4.0000000000000001e-02,-50,3.4100000000000001,1784,,,Race pace but got rearended and needed repairs. Had potential for P6
114,2021 S4,W07,2021-11-02,F3.5,,Hockenheim - GP,3,2,0,1,1477,80,4,8,26,1.28.066,1.26.796,-4.0000000000000001e-02,63,3.3700000000000001,1847,,,Race pace but shot tyres and lost focus towards the end. Was leading and let the position go ot L22 by taking the longer route towards spitskehre. Oh well.
115,2021 S4,W08,2021-11-04,SRF,,Summit Point - Raceway,5,9,0,0,1991,39,4,5,18,1.21.568,1.20.197,-8.0000000000000002e-02,-24,3.29,1823,Gabor Szabo iR2035,,Race pace and P6 potential for 68pts but Gabor Szabo didn't hold brakes
116,2021 S4,W08,2021-11-05,SRF,,Summit Point - Raceway,8,6,0,0,2067,75,4,4,19,1.21.566,1.20.163,-2.e-02,31,3.27,1854,,,Race pace
117,2021 S4,W08,2021-11-06,F3.5,,Sebring,7,4,0,0,1707,78,4,1,21,1.49.666,1.48.178,0.17999999999999999,44,3.4500000000000002,1898,,,Incident free race pace
118,2021 S4,W09,2021-11-10,F3.5,,Red Bull Ring,7,7,0,0,1864,35,4,6,28,1.20.953,1.19.752,-5.9999999999999998e-02,-30,3.3900000000000001,1868,,,Race pace with few off tracks.
119,2021 S4,W09,2021-11-14,SRF,,Zandvoort,11,12,0,0,1913,45,4,8,13,1.53.765,1.52.623,-0.20999999999999999,-17,3.2200000000000002,1851,Rafael Torres Castano ir1911,,Race pace. Contact and tow lap 1. Had pace for P6
120,2021 S4,W09,2021-11-14,F3.5,,Red Bull Ring,19,11,0,0,1932,62,4,12,27,1.21.383,1.19.671,-0.68999999999999995,8,2.5300000000000002,1859,,,Race pace. Too many off-tracks
121,2021 S4,W09,2021-11-15,SRF,,Zandvoort,2,1,1,1,1499,81,4,2,14,1.55.117,1.53.330,0.11,69,2.6400000000000001,1928,,,Race pace but not my fastest. One self spin lap 5 when in the lead. Pushed too hard.
122,2021 S4,W010,2021-11-19,SRF,,Interlagos,5,5,0,0,1852,43,4,2,14,1.52.545,1.50.773,0.13,-13,2.77,1915,,,Race pace but had 1s better practice laps
123,2021 S4,W010,2021-11-20,911GT3R,,Bathurst,36,11,0,0,1229,62,4,0,48,2.13.306,2.09.645,1.96,28,4.7300000000000004,1943,,,Race pace. Damaged car at second stint
124,2021 S4,W010,2021-11-20,SRF,,Interlagos,6,5,0,0,1464,47,4,0,14,1.52.067,1.50.137,0.12,-8,4.8500000000000005,1935,,,Race pace. Just haven't practised enough.
